,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
138,448629,1366084,Private room,,Praha 1,0,,,1.0,1.0,70.0,2.0,50.088654,14.398824,2016-03-21 14:38:16.103783
139,465196,383698,Entire home/apt,,Praha 1,28,4.5,,2.0,2.0,185.0,,50.091033,14.418942,2016-03-21 18:58:42.458395
140,465731,2310411,Private room,,Praha 5,35,4.0,3.0,1.0,1.0,22.0,1.0,50.067787,14.39649,2016-03-21 18:09:29.637181
141,472906,2345419,Private room,,Slivenec,6,4.5,2.0,1.0,1.0,32.0,1.0,50.010732,14.34841,2016-03-21 18:49:47.206368
142,474544,2352592,Entire home/apt,,Dolní M?cholupy,43,4.5,2.0,1.0,1.0,25.0,1.0,50.056097,14.554661,2016-03-21 17:10:26.751903
143,476442,2361592,Entire home/apt,,Praha 10,95,5.0,4.0,2.0,1.0,30.0,1.0,50.075228,14.494957,2016-03-21 16:10:09.638092
144,488703,1335023,Entire home/apt,,Praha 10,78,5.0,2.0,1.0,1.0,35.0,2.0,50.072003,14.463481,2016-03-21 17:12:57.691157
145,488748,1629431,Entire home/apt,,Praha 7,58,4.5,2.0,0.0,1.0,33.0,2.0,50.105162,14.436679,2016-03-21 16:02:22.627047
146,489140,2419343,Entire home/apt,,Praha 5,11,5.0,4.0,1.0,1.0,62.0,,50.064756,14.39497,2016-03-21 18:25:28.181707
147,493375,2399088,Private room,,Praha 8,69,5.0,2.0,1.0,,24.0,2.0,50.093906,14.452092,2016-03-21 16:17:10.122816
148,498184,2349876,Entire home/apt,,Praha 7,171,5.0,,3.0,1.0,70.0,2.0,50.097417,14.425701,2016-03-21 14:32:17.820134
149,498646,2453534,Entire home/apt,,Praha 2,162,4.5,2.0,1.0,1.0,64.0,2.0,50.069626,14.417989,2016-03-21 18:19:24.709612
150,499804,2466699,Entire home/apt,,Praha 2,12,4.5,4.0,2.0,1.0,53.0,2.0,50.071825,14.4406,2016-03-21 16:12:46.757933
151,500249,2083206,Entire home/apt,,Praha 1,33,5.0,,1.0,1.0,113.0,3.0,50.09097,14.432606,2016-03-21 15:13:28.482890
152,502647,2480461,Private room,,Praha 6,50,4.5,2.0,1.0,1.0,24.0,2.0,50.103456,14.402586,2016-03-21 17:05:11.758202
153,503693,606694,Entire home/apt,,Praha 1,103,5.0,4.0,1.0,1.0,99.0,2.0,50.087753,14.407246,2016-03-21 17:00:48.916657
154,509287,2509925,Entire home/apt,,Praha 5,77,4.5,4.0,1.0,1.0,56.0,2.0,50.080278,14.405833,2016-03-21 17:48:22.940971
155,516322,227945,Entire home/apt,,Praha 3,81,4.5,4.0,1.0,1.0,40.0,,50.086589,14.451005,2016-03-21 15:09:35.093204
156,519244,2555470,Entire home/apt,,Praha 1,82,5.0,4.0,1.0,1.0,104.0,2.0,50.092797,14.429881,2016-03-21 17:31:38.086605
157,522928,2535406,Private room,,Praha 7,82,4.5,3.0,1.0,1.0,23.0,1.0,50.102989,14.425374,2016-03-21 17:40:08.201204
